Cancer	CD14	CD19	CD4_Eff	CD56	CD8	Endothelial	Eos	Fibroblast	Neu	Treg
TCGA-AB-2851-03	0.381588863576719	0.470226902740374	0.0349912206951677	0.0229417513114158	0.0267248103030563	0.0147418401984523	0.00364672046955011	0.0028918086527942	0.00592177580795024	0.0363233062553602	9.99989160117504e-07
TCGA-AB-2853-03	0.070600162934299	0.593034808716597	0.0563492117142297	0.0489312891573412	0.122958716311002	9.99989560108992e-07	0.0429873512120533	0.0384474986081145	0.0103061924033513	0.0121163735050606	0.00426739544839152
TCGA-AB-2847-03	0.566098687999629	0.122258636816199	0.0541112966590422	9.99988850124321e-07	0.0825386796937214	0.127942573440306	9.99988850124321e-07	0.0130339546714054	0.00797162111642455	0.0215548596633147	0.00448768996225692
TCGA-AB-2833-03	0.569044825863639	0.196634866511698	0.0477451819647757	0.0710675289173112	9.99989150117721e-07	0.0694660462933977	0.0114302759815056	9.99989150117721e-07	0.00786276468900312	0.0267455098112185	9.99989150117721e-07
TCGA-AB-2814-03	0.601418624962575	0.119620732020241	0.077723476131153	0.0476940944425989	0.0371688060106563	0.0421303534182538	0.0392238842268272	9.99989400112359e-07	9.99989400112359e-07	0.0350170288194945	9.99989400112359e-07
TCGA-AB-2898-03	0.306219662205682	0.384417809845873	0.0505149493870517	9.99989100118809e-07	0.0843852802004458	9.99989100118809e-07	0.0266857091257705	0.0482924736120376	0.015520630825124	9.99989100118809e-07	0.0839604848307154
TCGA-AB-2866-03	0.807937732954203	0.047111259633852	0.0111208724435931	0.0209204600423233	0.0344987042998617	0.0666981349723919	9.99988530131559e-07	0.00167769075688702	0.0088764981865658	0.00115664673326197	9.99988530131559e-07
TCGA-AB-2875-03	0.477379734501528	0.202961761331773	0.0762095594085597	0.030593262556314	0.036034902535025	0.12083066723774	9.9998897012166e-07	9.9998897012166e-07	0.00765294558801016	0.0483341668741394	9.9998897012166e-07
TCGA-AB-2841-03	0.244555236525827	0.552951751645206	9.99988700127688e-07	9.99988700127688e-07	0.0950448259934663	9.99988700127688e-07	9.99988700127688e-07	0.015537524425974	0.0176077010329783	0.0139158427509769	0.0603831176707703
TCGA-AB-3008-03	0.846619771844487	0.0275616995774746	0.0217728626757968	0.0271920036071607	0.0139693477341097	0.0342494266812492	9.99989100118808e-07	0.0286308879233216	9.99989100118808e-07	9.99989100118808e-07	9.99989100118808e-07
TCGA-AB-2811-03	0.661773549753377	0.221149510298813	0.010613280515688	0.00545708856409695	0.0157883222550681	0.0433269122256222	0.00025487513061578	0.0328476302013792	0.00878683107785573	9.99988742126741e-07	9.99988742126741e-07
TCGA-AB-2895-03	0.47041241620462	0.312321292746255	0.0364222676676828	0.0621350624568086	0.044891267140659	0.00241084138331278	0.0228969282134621	0.0160232098044996	0.0104538759124929	0.0220318384820772	9.99988130140895e-07
TCGA-AB-2933-03	0.585602482244373	0.174464058215032	0.0430400209645667	0.0508430341170303	0.00860173426269766	0.0312553521279308	9.99988870123875e-07	0.00170080107008409	0.00270064994176615	0.101789867078779	9.99988870123875e-07
TCGA-AB-2942-03	0.40937080394926	0.333620580389051	0.0460767277135409	9.99989750105062e-07	0.0607888769140116	9.99989750105062e-07	0.00338001535484261	0.0483632042771562	0.0218826757025741	9.99989750105062e-07	0.0765141157303138
TCGA-AB-2910-03	0.498496740859384	0.242264444110115	0.039226086164791	0.0617450485897374	0.0373552059025777	0.0514867568147156	9.99989450111301e-07	0.00716207444011466	0.0275675091627783	0.0346941339768865	9.99989450111301e-07
TCGA-AB-2934-03	0.513287430831376	0.141080469276908	0.0754785810573955	0.0243074362643165	0.0607992403282424	9.99989150117721e-07	0.00711727277759036	0.0912556098766329	0.0327248449354325	9.99989150117721e-07	0.0539471146738058
