sample_id	CD274	CD38	CD8A	CXCL9	HAVCR2	MEX3B	Angiogenesis	Proliferation	Stroma_EMT	T_effector_IFNG_response	TGFB	CD8_T_effector_POPLAR	Myeloid_inflammation	DediffGenes	TGSig	IFN_I_Dcact	CD40act	TcellActivation	TcellDysfunction	RSRDs	Cytolytic_activity	ExhaustedTcell	RSRDs_weight	12_cheomokine	IMPRES	Chiping_45_signature	TIDE
11	TCGA.BF.A3DM	0.909842353724448	1.56333188968818	0.938132216035948	1.78502437428239	2.288	2.083	4.88394868915525	4.82600184920915	4.8453647769785	0.761103480592119	6.41235346470362	1.38029720458551	1.50933575633503	2.38553878718667	2.90948336471265	5.85516147759284	6.38335828976592	5.16813556902404	4.27079785719954	3.77351691705773	0.649396319669276	0.76705931803961	-1284.534574514	-0.0354924194442343	6	-12.4466442710718	1.16
12	TCGA.BF.A3DN	1.77268483799417	0.792405485820497	1.19281068330841	2.85215126257022	1.845	1.966	5.03546199105708	4.44104362047981	5.25807197227647	1.47171826470031	5.64641174195893	1.82867785270711	3.49897453750707	2.22957768230484	3.03246760154337	4.38552993482433	6.10091760098714	5.12979267337847	4.33584697364834	3.77172580254999	1.55991538232046	1.23938153150028	-1270.62078873474	-0.0410557777823765	6	-18.2904595398355	1.87
13	TCGA.BF.A5EO	0.797099605706019	1.03414840943754	3.12098339995239	4.09024186393412	3.004	0.5656	3.49579789017308	3.68353803430976	4.47309761082001	1.56308815103435	4.85614962785282	2.33149480227735	2.87776458401662	2.1276080092597	2.48280420375873	3.5772105605975	5.9129605248911	4.56099720660241	3.92311531636399	3.68950726235623	2.91443167701698	0.909971785547754	-1069.03150084333	-0.0626824627531143	8	-18.9651826766573	0.38
14	TCGA.BF.A5EP	0.685852439157301	0.15388121433338	0.974480280116897	1.62737874396582	1.589	1.315	3.7814456082321	4.49984411320247	4.52739230917417	0.9843354950711	4.94120538251589	1.20462738210549	1.0370434009245	1.99350407844684	2.1145623439434	3.29699901471113	6.15674228173371	4.80128783452962	3.86176323093147	3.35933578448815	1.38342184455791	0.428168196676211	-1165.47912804331	-0.0471067663601616	7	-28.6207694817601	1.76
15	TCGA.BF.A5EQ	1.43676088011262	2.30007596174424	4.01165552094937	6.12161201523775	3.196	2.739	3.422298936656	3.84610866568311	4.80431331501063	2.74917705820001	5.36769353470091	3.74175314282009	2.22132308890601	2.01522104137397	2.16559342433795	4.17007108292411	5.85769775910336	4.88091142852124	4.24170163266132	3.44306048863052	4.00333960587907	2.12685254440537	-1100.66213939022	-0.0633067178015842	8	-23.5332938431765	0.22
16	TCGA.BF.A5ER	0.55881928129278	0.0793239171920199	0.186438554167948	0.553630282118766	1.237	0.6666	2.74880717559764	3.42013737290843	3.58010697889725	0.75883739617688	4.5066022633466	0.650218828163598	0.799120000287999	1.23661917067982	1.71360311777129	2.37299193725256	5.53242351274181	4.21576540887924	3.25245694244241	2.84116032561564	0.755381592309476	0.381676233022491	-1048.00147127011	-0.0442094164024043	8	-26.8117915356667	0.47
17	TCGA.BF.A5ES	0.930520049446611	0.279034360908566	2.05624152106917	3.94863203053232	3.136	0.7871	2.5877971317087	4.01834726407806	4.39896556023578	1.18267250125653	4.58846251155687	1.99595754367579	2.06915377627621	1.53068103985063	2.41488001654752	3.41042432036297	5.8902548561992	4.79304767142536	3.97683047366492	3.06229260431611	2.1708353230957	0.662912717190155	-1150.04192021203	-0.0458237905180242	9	-31.390925840959	0.25
18	TCGA.BF.A9VF	0.816155921090076	0	0.886022672334716	0.801925628439098	0.9152	1.013	2.14738903779184	3.87066631575833	3.37545786728337	0.814433715247642	4.42249964874565	0.855444671196005	1.12828437606245	1.28599017844887	1.72444645067288	2.26797855330304	5.63538974712066	4.61020594152936	3.54564438733761	3.18469109157481	1.07477090582133	0.616338988432762	-1222.14335035546	-0.0379282223942932	7	-23.738567133148	0.25
19	TCGA.BF.AAOU	1.40219194286961	2.53301749958283	2.04189598374135	2.12302827952192	2.411	1.115	3.87811000861534	4.03105078691413	4.78723706307979	1.22195048104156	4.98217477999359	1.64390457388085	4.37942218448144	2.44667054242443	1.85831210331821	3.518408697776	5.77484002298039	4.63844351545649	3.9079243144366	3.71353651577625	2.31170824283689	0.958263861085218	-1292.04000670834	-0.0400660317233802	7	-15.3361210450489	0.55
20	TCGA.BF.AAOX	0.669257358453301	0.141311789131611	1.17039080907535	1.62890653230889	0.6442	1.486	2.84927889188695	4.49505648527283	3.52838418272745	1.47880790053221	4.57368576798092	1.49594939834959	1.72784722942988	1.42259594260316	1.86041322785335	3.12445513665389	6.03055716069357	4.6519767910286	3.70985756478215	3.28476593229591	1.00587156237762	0.420385679766991	-1147.77935032611	-0.0435292329144698	8	-35.0771867439541	0.21
21	TCGA.BF.AAP0	2.28133368096773	3.98920157549794	6.06010531045503	7.64197090300129	4.729	1.077	3.28928790886093	4.31274269823183	4.87745844543601	3.86759541118968	5.98636703930895	5.16087968627377	1.15109643715986	2.37664580800435	3.01201116703122	4.85326544803024	6.15713816231801	4.87544998212349	4.47017933486585	3.6240317508687	5.50408030464673	3.12810181206933	-1417.15371270666	-0.0478048535577964	9	-21.5932876296961	1.94
22	TCGA.BF.AAP1	0.110281875775791	0.404781728963296	0.884658259124291	2.01058360901925	1.532	1.777	3.80803179263575	4.43926266386841	4.13821993383817	0.482793678953488	4.48194406810002	1.11960546019561	0.701266647488081	2.13534223195924	2.73470530576895	3.32496662567315	5.93071950289938	5.12564777468917	4.0518674629464	3.43515360385533	1.16532055675681	0.95266670779759	-1320.14823408112	-0.0569719795910711	6	-22.6315253418963	0.9
23	TCGA.BF.AAP2	1.18585100550236	0.951747633429346	2.83415028767842	4.73447804513444	2.326	1.717	2.40321789928587	4.30203886448876	3.90173937072063	1.83475122648003	4.6302795511087	2.84478974746778	0.670207677278469	1.64485913718779	2.06999918884918	4.76136204126898	6.13408457835855	4.88393268374592	4.21553321023555	3.63210101317021	2.89395922569756	1.44060031722716	-1177.28826948319	-0.0534305182821416	9	-28.6789877661106	0.3
24	TCGA.BF.AAP4	2.06513635232515	2.3029654204792	5.4005089767705	6.06059309221923	4.325	0.7965	3.35816612592807	4.54811748366519	4.40124929733153	3.53863461731276	4.93782956019655	4.35954574547966	2.14363502173838	1.84357410798091	2.46053003762754	4.44615846368808	6.31733314557037	5.05402194381388	4.36616335983801	3.39477269535206	5.33733388500289	2.68223923280361	-1174.02576310579	-0.0616604033158143	9	-18.0053290888912	0.5
25	TCGA.BF.AAP6	0.79674384396992	0.871814204045466	0.723606151565169	1.4851927671177	1.794	2.189	3.76400281637656	5.41650041203495	4.79730845860433	0.84273263482898	5.25356529403865	1.26216946195057	2.69665424394135	1.87895512004911	2.51057001526573	3.98354605588899	6.66691289373499	5.34078170522121	4.36048027662896	3.65366208591198	1.46527642443329	0.968230899272081	-1143.27611449267	-0.0477848143219103	6	-28.6548292496942	1.4
26	TCGA.BF.AAP7	1.02810792282515	3.28922188987807	5.15119960284827	6.38844321505335	4.492	0.7557	3.9086925273694	3.26715808806973	4.56602924042982	2.94453082464593	5.46311124289509	4.42440097996289	2.20238256836331	2.04563786616098	2.03423999282209	5.0052309573064	5.69975940134097	4.52136979441046	3.92646374805456	3.67237278940693	5.22410183667968	2.379474380968	-1087.04006456419	-0.0648526988684997	9	-17.8656933746779	2.29
27	TCGA.BF.AAP8	1.06155102035962	0.799958331283778	2.50730355148848	2.35790878539903	1.796	1.121	2.98944539922352	2.54321706815515	3.61826257306166	1.34866090677292	4.95957410470074	1.7267850531992	1.0014790050702	1.69660524716992	2.07054439929439	3.40392243671866	4.97222862776757	4.68798527633225	3.57775501561597	3.10248493420558	1.93821980177688	1.30079169018946	-1304.37769198106	-0.0578174367697609	11	-23.6229840106179	-0.39
28	TCGA.D3.A1Q1	0.331089988591114	0.530296855276595	0.913451497042028	1.09207569106983	2.08	2.776	4.29013852230131	3.2065071318497	3.60317194510523	0.81400894854093	4.6269101520046	0.801093698834965	0.210118270020489	1.60217273044112	1.9256660103201	2.19161049536457	5.56001067956385	4.60989289506811	3.56836103254766	2.95297829784485	0.917197470559094	0.588707982297148	-1146.8350147642	-0.046868342478395	8	-27.6477204755857	0.92
29	TCGA.D3.A1Q3	2.30344390122226	3.10308464796002	4.28454883904904	7.01281495831127	3.715	2.312	2.98033140375806	4.5285494863523	4.53066219056492	2.7092757137326	4.82046138356327	3.43837164418365	0.822543438281018	1.95405537410216	2.41901538314558	4.64487539865821	6.25024572475382	5.27039164592061	4.6519026448571	3.41487413397368	3.7641010879093	2.21998248864916	-1244.80488026469	-0.0353780832522462	9	-30.6917507091333	-0.71
30	TCGA.D3.A1Q4	0.791160012705418	1.53371957528697	1.83099252529639	4.28527613937942	2.951	1.847	6.57501011965805	4.59616382462835	5.99793483095554	1.0574072481802	7.17698503135198	1.86806330701232	0.988418990182012	2.78160509231493	3.41325347432617	3.91969447878341	6.01483680356541	4.84719112855482	4.08882623865349	3.83493343849609	2.3213720081021	0.825439259316885	-1303.66569171136	-0.044795466015074	6	-9.97352259219422	1.92
31	TCGA.D3.A1Q5	0.391868113923564	1.317008965185	3.27885957296009	1.90379618534187	1.582	3.901	5.41319439423449	4.00390471816781	5.9108167184408	1.37734996606945	6.21361682485067	1.75914513380359	1.64627306313101	3.57061202882246	3.32263571604382	3.38471125286457	5.76093516634871	5.25805393866878	4.5308175348949	4.16112461319828	2.31877295136889	0.877618795332737	-1493.09300989426	-0.0541480478391832	7	23.2044318464252	0.92
32	TCGA.D3.A1Q6	0.695958944924921	0.616903029027267	2.22078149752421	2.56439924817614	3.262	0.5609	4.64157059497185	4.42756996183641	4.82579188914515	1.32335724902755	4.97469310326664	2.276796581316	2.89991854861745	3.41036513658137	2.38816214898799	4.90970411845529	6.34601558219945	5.06488235881097	4.12437110483274	3.78748014465158	2.35597113734443	1.01699205628443	-988.780961205228	-0.038101159148	9	18.4916501678947	0.62
33	TCGA.D3.A1Q7	4.00400163202802	6.29100932857188	6.87457274742879	9.67243441896816	5.65	2.757	5.66981381834699	5.28964939264332	5.1271302199212	4.86740858948259	5.91944236197933	6.23353287494369	2.01733189028629	2.64801801587272	2.99602324790537	6.55561671650761	6.61091965740324	5.11190614824854	4.7895643588145	3.84668097554169	7.05936080675864	3.90990272116713	-1329.52323565425	-0.0355258236344725	9	-14.4517890305407	0.55
34	TCGA.D3.A1Q8	0.417418231367588	2.76238094145225	2.23080805553953	2.73056163083799	4.147	2.371	5.02464376419513	4.29907798051538	6.09670241498178	1.02598717339889	6.70863382459226	1.74284043221918	1.68321794111756	3.09121198051445	3.20935393498271	4.16851727942606	5.99235474019212	5.11338709877679	4.46140976858411	3.89851420212946	2.22507707731665	1.19407096285981	-1178.74295999942	-0.0302739297604704	7	-17.9785227914683	1.76
35	TCGA.D3.A1Q9	2.98876227285361	3.02730920096561	4.29263288647885	4.59297084166666	3.649	0.6276	3.95220993802915	4.87592946554088	4.35209719746042	3.35294297630367	5.19650945522719	3.51943044785026	1.4695977643019	1.7896347145084	2.61625883150286	5.00796848977402	6.17604174612025	5.03735783244641	4.4875404349099	3.48888449841239	3.86788365905698	1.98319744285022	-1234.94364718069	-0.0531621173549928	8	-28.9240721507753	-0.55
36	TCGA.D3.A1QA	1.21637247354215	2.26152570416458	3.31896232500133	5.76099490509542	3.091	1.338	3.66869699271519	5.63384639521909	3.89977559211825	1.9349221726417	4.83484651359749	3.05916272697304	0.647093922175662	1.42363906377931	2.54276507850342	3.53637184997222	6.76732434673077	5.15725683682546	4.31217291884523	3.20483410006507	2.92246471321725	1.32510558572925	-1140.37894204913	-0.057728774680671	9	-26.6924779677964	0.22
37	TCGA.D3.A1QB	2.98329387901609	4.93949281919643	7.06440430023259	8.12085293556279	5.652	1.073	3.35422574190007	3.66246960790213	4.15544811083662	4.89638726209577	5.49909744704203	6.02310860120187	0.888625572227227	1.99239286232366	2.90470037093638	5.72886254949686	6.0154861053724	5.06535217634069	4.656233507753	3.48601051512226	6.60291087324371	3.77500952513133	-1367.00528792464	-0.0446068879172708	9	-27.4605061962966	0.7
38	TCGA.D3.A2J6	1.21994078102481	2.2165144189068	4.75134930211065	4.51421337727397	4.016	1.052	2.90008370306504	5.14871673349631	4.2501432246954	3.16965055370854	5.14809716181975	3.87836019222783	1.05903375054262	1.6412561081459	2.91938130154353	4.66064043332887	6.41050892405106	4.94155086302125	4.04640859950206	3.4059865479877	5.24134019121064	2.00499787851757	-1244.51585923811	-0.0364255639091116	8	-25.9037577047262	-0.22
